Nr.;Datum;Modus;"Position(en) Anzahl";Position(en);"Position(en) USt %";Zahlungsart;"Netto €";"Steuer €";"Brutto €";"Trinkgeld €";Storniert;"Storno Nr.";Stornodatum;"Storno Brutto €";"Storno Trinkgeld €";Kunde;"Kunde - Adresse";KassiererIn;Umsatzzuweisung
19750;"2026-01-02 16:32:57";Normal;"1| 1";"gemstone Mala/knotted  - 7225, Taschen aus Sari S";"19, 19";EC-Karte;33,61;6,39;40,00;0,00;Nein;;;;;;;"Shop Team";
19751;"2026-01-02 16:48:54";Normal;"1| 1";"Feine Bitter 71% Cacao 80g, Vivani Deutschland / 100% Bio nach EU/VO, Apfel Aprikosen Pfirsich Saft 0,7Ltr, Voelkel";"19, 19";Bar;5,88;1,12;7,00;0,00;Nein;;;;;;;"Shop Team";
19752;"2026-01-02 18:01:19";Normal;"1| 2| 1";"Sadhana: Hunderte von Gottheiten des Freudvollen Landes, Plastikbuchhülle - 210, Sadhana: Schatzkammer der Weisheit";"7, 19, 7";Bar;15,70;1,30;17,00;0,00;Nein;;;;;;;"Shop Team";
19753;"2026-01-03 08:37:52";Normal;"1| 1| 1| 1";"Zimtsterne 140g, Rosengarten Deutschland / 99% aus kBA, Mandelkekse Schoko, glutenfrei 110g, Werz Deutschland, Keksfreunde Zitrone 125g, Bohlsener Mühle, schoko Reiswaffeln";"19, 19, 7, 7";Bar;12,00;1,80;13,80;0,00;Nein;;;;;;;"Shop Team";
19754;"2026-01-03 08:44:54";Normal;"1| 1| 2| 1| 1";"7-Zwerge Kinder Saft 0,2Ltr, Voelkel Regional / Demeter, Apfel Mango Saft 0,2l, Pistacchio 'Dubai Style' Schokoriegel 40g, Vivani, Tzampas Golden Milk 40g, Vata Tuberose Jasmin Potpouuri Duftbeutel um Hängen 20g - 64609";"19, 19, 7, 19, 19";Bar;10,33;1,57;11,90;0,00;Nein;;;;;;;"Shop Team";
19755;"2026-01-03 08:46:35";Normal;"1| 1| 1| 1";"BioZisch Himbeer Cassis 0,33l, Falten Einkaufstashe 7625, Pistacchio 'Dubai Style' Schokoriegel 40g, Vivani, Tzampas Golden Milk 40g";"19, 19, 7, 19";Bar;8,07;1,33;9,40;0,00;Nein;;;;;;;"Shop Team";
19756;"2026-01-03 08:47:41";Normal;1;"Sadhana: Schatzkammer der Weisheit";7;Bar;6,54;0,46;7,00;0,00;Nein;;;;;;;"Shop Team";
19757;"2026-01-03 08:49:05";Normal;1;"Kartoffelchips Paprika 125g, Trafo";7;Bar;1,96;0,14;2,10;0,00;Nein;;;;;;;"Shop Team";
19758;"2026-01-03 08:50:34";Normal;"1| 1";"Salbei Lutschpastillen, Espresso Biscotti Schokoriegel 40g, Vivani Deutschland";"7, 7";EC-Karte;4,48;0,32;4,80;0,00;Nein;;;;;;;"Shop Team";
19759;"2026-01-03 08:51:44";Normal;"1| 1";"gemstone Mala knotted 7229, Mala Brokat Beutel ALL M 9001";"19, 19";EC-Karte;49,58;9,42;59,00;0,00;Nein;;;;;;;"Shop Team";
19760;"2026-01-03 08:53:22";Normal;1;"Tzampas Golden Milk 40g";19;Bar;1,85;0,35;2,20;0,00;Nein;;;;;;;"Shop Team";
19761;"2026-01-03 10:03:42";Normal;1;"Filterkaffee  Tasse";19;Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19762;"2026-01-03 10:08:04";Normal;"1| 1";"Pane Picco Asia 150g, Pane Picco mit Mohn 150g";"7, 7";Bar;4,68;0,32;5,00;0,00;Nein;;;;;;;"Shop Team";
19763;"2026-01-03 10:09:20";Normal;"1| 1";"Tee, Franzbrötchen, vegan";"19, 19";Bar;3,78;0,72;4,50;0,00;Nein;;;;;;;"Café Team";
