Nr.;Datum;Modus;Position(en) Anzahl;Position(en);Position(en) USt %;Zahlungsart;Netto €;Steuer €;Brutto €;Trinkgeld €;Storniert;Storno Nr.;Stornodatum;Storno Brutto €;Storno Trinkgeld €;Kunde;Kunde - Adresse;KassiererIn;Umsatzzuweisung
19067;01.10.2025 17:00;Normal;1| 1| 1| 1| 1| 1;Salbei Lutschpastillen, Ariona Fruchtriegel, Halva 75g, Vivani Feine Bitter 71% 100g, Yogi Classic Chai Tee, Bullet journal 14x19 - Umbel;7, 7, 7, 7, 7, 19;Bar;19,2;2,05;21,25;0;Nein;;;;;;;Shop Team;
19068;10.10.2025 14:44;Normal;1;MorningStar Incense 9201;19;Bar;4,2;0,8;5;0;Nein;;;;;;;Shop Team;
19069;12.10.2025 11:33;Normal;1;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19070;12.10.2025 12:48;Normal;2;Cappuccino;19;Kreditkarte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19071;12.10.2025 12:49;Normal;1;Laugenbrezel mit Butter;19;Bar;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19072;12.10.2025 12:53;Normal;1;Laugenbrezel mit Butter;19;Bar;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19073;12.10.2025 13:19;Normal;1| 1| 1| 1;Kirsch-Schoko-Crisp Schnitte, Tee, Mango- Joghurt-Crunch Torte, Heiße Schokolade;19, 19, 19, 19;Kreditkarte;12,77;2,43;15,2;0;Nein;;;;;;;Café Team;
19074;12.10.2025 13:26;Normal;1| 1| 1| 1| 1| 1;Heiße Schokolade, Cappuccino, Koffeinfrei, Mango- Joghurt-Crunch Torte, Erdbeer Buttemilch Torte, Himbeer Brownie, glutenfrei;19, 19, 19, 19, 19, 19;Bar;16,3;3,1;19,4;0;Nein;;;;;;;Café Team;
19075;12.10.2025 13:39;Normal;2| 2| 1;Milchkaffee, Großmutters Apfel Schnitte, Extra Sahne;19, 19, 19;Kreditkarte;9,33;1,77;11,1;0;Nein;;;;;;;Café Team;
19076;12.10.2025 13:49;Normal;2| 1| 1;Americano, Apfelkuchen, vegan, Mango- Joghurt-Crunch Torte;19, 19, 19;Kreditkarte;11,26;2,14;13,4;0;Nein;;;;;;;Café Team;
19077;12.10.2025 13:54;Normal;1;Großmutters Apfel Schnitte;19;Bar;1,51;0,29;1,8;0;Nein;;;;;;;Café Team;
19078;12.10.2025 13:56;Normal;1| 2| 1;Tee, Großmutters Apfel Schnitte, Erdbeer Buttemilch Torte;19, 19, 19;Bar;8,91;1,69;10,6;0;Nein;;;;;;;Café Team;
19079;12.10.2025 14:09;Normal;1| 1;KräuterRäucherwerk ohne Bambus mit Halter Abundance -- 34 g, Scentsual Räucherstäbchen Brillianter Blauer Lavendel -- 11 g;19, 19;Bar;10,08;1,92;12;0;Nein;;;;;;;Shop Team;
19080;12.10.2025 14:25;Normal;1| 1| 1| 1;Pfirsich-Rahm-Käse-Torte, Mango- Joghurt-Crunch Torte, Heiße Schokolade, Filterkaffee  Tasse;19, 19, 19, 19;Bar;12,52;2,38;14,9;0;Nein;;;;;;;Café Team;
19081;12.10.2025 14:26;Normal;1;Tee;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19082;12.10.2025 14:27;Normal;1;Espresso Doppio;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19083;12.10.2025 14:29;Normal;1| 1;Pfirsich-Rahm-Käse-Torte, Americano;19, 19;Bar;5,46;1,04;6,5;0;Nein;;;;;;;Café Team;
19084;12.10.2025 14:36;Normal;3| 1| 1| 1| 1| 1| 1;MorningStar Incense 9201, KräuterRäucherwerk ohne Bambus mit Halter Serenity -- 34 g, KräuterRäucherwerk ohne Bambus mit Halter Glück -- 34 g, KräuterRäucherwerk ohne Bambus mit Halter Meditation -- 34 g, Hano No Hano 9203, oedo-koh 9706, Geschirrtuch [Halbleinen] Hähnry | Hahn | Küchentücher;19, 19, 19, 19, 19, 19, 19;EC-Karte;61,3;11,65;72,95;0;Nein;;;;;;;Shop Team;
19085;12.10.2025 14:36;Normal;1;Pfirsich-Rahm-Käse-Torte;19;Bar;3,36;0,64;4;0;Nein;;;;;;;Café Team;
19086;12.10.2025 14:39;Normal;1;Pfirsich Käse glutenfrei vegan;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19087;12.10.2025 14:40;Normal;1| 1| 1;Cappuccino, Hafermilch, Pfirsich Käse glutenfrei vegan;19, 19, 19;EC-Karte;6,3;1,2;7,5;0;Nein;;;;;;;Café Team;
19088;12.10.2025 14:43;Normal;1| 1;Espresso Doppio, Großmutters Apfel Schnitte;19, 19;Bar;4,03;0,77;4,8;0;Nein;;;;;;;Café Team;
19089;12.10.2025 14:49;Normal;1;Ariona Fruchtriegel;7;Bar;1,5;0,1;1,6;0;Nein;;;;;;;Shop Team;
19090;12.10.2025 14:54;Normal;1| 1| 1| 2;Latte Macchiato, Filterkaffee  Tasse, Apfelkuchen, vegan, Erdbeer Buttemilch Torte;19, 19, 19, 19;Bar;15,54;2,96;18,5;0;Nein;;;;;;;Café Team;
19091;12.10.2025 15:16;Normal;1;Latte Macchiato;19;Bar;2,94;0,56;3,5;0;Nein;;;;;;;Café Team;
19092;12.10.2025 15:27;Normal;2;Lotus Teelichalter Capiz all colours 9101;19;Bar;16,81;3,19;20;0;Nein;;;;;;;Shop Team;
19093;12.10.2025 15:28;Normal;1;Amazonit-Armband 6 mm;19;Bar;4,2;0,8;5;0;Nein;;;;;;;Shop Team;
19094;12.10.2025 15:44;Normal;1| 1| 2| 1;Apfelkuchen, vegan, Hafermilch, Chai Oriental, Mango- Joghurt-Crunch Torte;19, 19, 19, 19;Bar;12,94;2,46;15,4;0;Nein;;;;;;;Café Team;
19095;12.10.2025 15:47;Normal;1| 2| 1| 1| 1;Kirsch-Schoko-Crisp Schnitte, Apfelkuchen, vegan, ApfelChai heiss, Americano, Filterkaffee  Tasse;19, 19, 19, 19, 19;EC-Karte;16,21;3,09;19,3;0;Nein;;;;;;;Café Team;
19096;12.10.2025 15:48;Normal;1| 1| 2| 1;Espresso Doppio, Espresso, Milchkaffee, Kirsch-Schoko-Crisp Schnitte;19, 19, 19, 19;EC-Karte;13,69;2,61;16,3;0;Nein;;;;;;;Café Team;
19097;12.10.2025 15:49;Normal;1| 1;Heiße Schokolade, Heiße Schokolade - Weiß;19, 19;Bar;5,88;1,12;7;0;Nein;;;;;;;Café Team;
19098;12.10.2025 16:03;Normal;1| 1;Milchkaffee, Mango- Joghurt-Crunch Torte;19, 19;EC-Karte;7,06;1,34;8,4;0;Nein;;;;;;;Café Team;
19099;12.10.2025 16:30;Normal;1;Pane Picco mit Mohn 150g;7;EC-Karte;2,34;0,16;2,5;0;Nein;;;;;;;Shop Team;
19100;17.10.2025 12:00;Normal;1| 1;Regenbogen-Kristalle Kugel 9717, Windspiel Capiz Multifabe 8027;19, 19;Bar;19,33;3,67;23;0;Nein;;;;;;;Shop Team;
19101;18.10.2025 11:40;Normal;1;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19102;18.10.2025 12:27;Normal;2;Cappuccino;19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19103;18.10.2025 12:31;Normal;1;Cappuccino;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19104;18.10.2025 12:38;Normal;1| 1;"Geshe Kelsang Gyatso Statue 4"" mit Lotus 2025, Buddha Shakyamuni medium taiwanese gold 7014";19, 19;EC-Karte;136,13;25,87;162;0;Nein;;;;;;;Shop Team;
19105;18.10.2025 12:41;Normal;1| 1;Blechspielzeug Hase Blechhase - Jumping Rabbit Clockwork, Mala Brokat Beutel ALL M 9001;19, 19;EC-Karte;8,36;1,59;9,95;0;Nein;;;;;;;Shop Team;
19106;18.10.2025 13:31;Normal;1| 1;Mango- Joghurt-Crunch Torte, Omas Rahmkäse-Torte;19, 19;Bar;7,06;1,34;8,4;0;Nein;;;;;;;Café Team;
19107;18.10.2025 13:34;Normal;1| 1| 1| 1| 1;Laugenbrezel mit Butter, Cappuccino, Americano, Omas Rahmkäse-Torte, Hafermilch;19, 19, 19, 19, 19;EC-Karte;9,41;1,79;11,2;0;Nein;;;;;;;Café Team;
19108;18.10.2025 13:44;Normal;1| 1| 1| 1;Donauwelle, Himbeer Brownie, glutenfrei, Milchkaffee, Filterkaffee  Tasse;19, 19, 19, 19;Bar;11,01;2,09;13,1;0;Nein;;;;;;;Café Team;
19109;18.10.2025 13:55;Normal;1| 1| 1| 2;Cappuccino, Kurkuma Latte, Pink Grapefruit Garten-Limonade, Aprikosenkuchen, vegan;19, 19, 19, 19;Bar;13,44;2,56;16;0;Nein;;;;;;;Café Team;
19110;18.10.2025 13:56;Normal;2| 3;Natürliche Orangen-Citronella und Palo Santo-Weihrauch - Sagrada Madre, MorningStar Incense 9201;19, 19;Bar;21,85;4,15;26;0;Nein;;;;;;;Shop Team;
19111;18.10.2025 13:58;Normal;1| 1;Latte Macchiato, Americano;19, 19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19112;18.10.2025 14:08;Normal;1| 1| 1| 1;Americano, Cappuccino, Kirsch-Schoko-Crisp Schnitte, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei;19, 19, 19, 19;Bar;12,01;2,29;14,3;0;Nein;;;;;;;Café Team;
19113;18.10.2025 14:16;Normal;1| 1;Milchkaffee, Himbeer Brownie, glutenfrei;19, 19;Bar;5,88;1,12;7;0;Nein;;;;;;;Café Team;
19114;18.10.2025 14:18;Normal;2| 2| 1| 1;Cappuccino, Hafermilch, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Kirsch-Schoko-Crisp Schnitte;19, 19, 19, 19;EC-Karte;12,43;2,37;14,8;0;Nein;;;;;;;Café Team;
19115;18.10.2025 14:26;Normal;1| 1| 1| 1;Milchkaffee, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Omas Rahmkäse-Torte, Heiße Schokolade;19, 19, 19, 19;Bar;12,6;2,4;15;0;Nein;;;;;;;Café Team;
19116;18.10.2025 14:28;Normal;1| 1;Cappuccino, Laugenbrezel mit Butter;19, 19;Bar;4,37;0,83;5,2;0;Nein;;;;;;;Café Team;
19117;18.10.2025 14:38;Normal;1| 1| 1| 1;Tee, Milchkaffee, Mango- Joghurt-Crunch Torte, Himbeer Brownie, glutenfrei;19, 19, 19, 19;EC-Karte;12,1;2,3;14,4;0;Nein;;;;;;;Café Team;
19118;18.10.2025 14:43;Normal;1| 1;Aprikosenkuchen, vegan, Schwarze-Johannisbeere Garten-Limonade;19, 19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19119;18.10.2025 14:55;Normal;1;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19120;18.10.2025 15:20;Normal;1| 1;Americano, Donauwelle;19, 19;Bar;5,13;0,97;6,1;0;Nein;;;;;;;Café Team;
19121;18.10.2025 15:22;Normal;1| 1;Americano, Aprikosenkuchen, vegan;19, 19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19122;18.10.2025 15:23;Normal;1| 1;Espresso, Zitrone Garten-Limonade;19, 19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19123;18.10.2025 15:25;Normal;1| 1;Chai Oriental, Omas Rahmkäse-Torte;19, 19;Bar;5,88;1,12;7;0;Nein;;;;;;;Café Team;
